,Forest area,,Threatened species,,,,Terrestrial protected areas,Marine protected areas
,,,Mammals,Birds,Fishes,Higher plants,,
,sq. km thousands,,,,,,% of total land area,% of territorial waters
Fiji,9,11,7,14,20,78,5.4,0.9
Finland,219,224,2,11,6,2,15,10.5
France,144,173,9,16,53,47,25.8,45
French Polynesia,1,1,0,35,28,48,2,0
Gabon,238,235,18,7,72,173,22.4,28.8
"Gambia, The",4,2,10,14,35,6,4.1,0.1
Georgia,28,28,9,14,11,63,8.3,0.7
Germany,113,114,5,11,24,36,37.8,45.4
Ghana,99,80,21,23,58,119,15.1,0.1
Greece,33,39,10,17,80,72,35.2,4.5
Greenland,0,0,9,6,9,1,41.2,4.5
Grenada,0,0,3,2,29,3,9.8,0.1
Guam,0,0,3,14,14,5,22.5,0
Guatemala,48,35,15,17,41,120,20,0.9
Guinea,73,62,30,20,76,70,35.6,0.5
Guinea-Bissau,22,20,14,12,41,6,16.7,10
Guyana,186,184,11,16,33,30,8.7,0
Haiti,4,3,4,17,30,93,1.9,0
Honduras,70,64,8,14,45,134,23.9,4.2
Hungary,18,21,3,13,9,43,22.6,..
Iceland,0,1,6,7,16,0,18.2,0.4
India,639,722,93,93,227,396,6,0.2
Indonesia,"1,185",921,191,160,166,458,12.2,3.1
"Iran, Islamic Rep.",91,108,18,28,47,7,8.6,0.8
Iraq,8,8,13,17,19,2,1.5,0
Ireland,5,8,5,9,28,3,14.4,2.3
Isle of Man,0,0,0,0,2,0,3.7,100
Israel,1,1,15,18,50,23,19.9,0
Italy,76,96,8,17,52,102,21.5,8.8
Jamaica,5,6,7,11,30,215,15.9,0.8
Japan,250,249,29,49,77,50,29.4,8.2
Jordan,1,1,13,14,20,8,1.8,35.6
Kazakhstan,34,35,16,27,14,14,3.3,1
Kenya,39,36,30,44,74,243,12.4,0.8
Kiribati,0,0,2,6,14,0,22.4,11.8
"Korea, Dem. People's Rep.",69,60,10,29,20,17,2.4,0
"Korea, Rep.",66,63,12,33,28,31,11.7,1.6
Kosovo,..,..,..,..,..,..,..,..
Kuwait,0,0,7,11,18,0,17.5,1.5
Kyrgyz Republic,8,13,5,15,3,13,6.7,..
Lao PDR,178,166,45,29,55,56,16.7,..
Latvia,32,34,1,11,6,0,18.2,16
Lebanon,1,1,10,11,28,24,2.6,0.2
Lesotho,0,0,4,8,1,4,0.3,..
Liberia,85,76,24,14,64,53,4.1,0.1
Libya,2,2,10,8,32,7,0.2,0.6
Liechtenstein,0,0,0,2,0,0,11.9,..
Lithuania,19,22,2,10,6,1,17,25.6
Luxembourg,1,1,0,3,1,0,40.9,..
North Macedonia,9,10,6,13,13,4,9.7,..
Madagascar,137,124,121,37,111,"1,111",5.6,0.7
Malawi,35,22,10,19,36,34,22.9,..
Malaysia,206,191,71,63,87,727,19.1,1.5
Maldives,0,0,2,0,24,0,1.2,0.1
Mali,133,133,14,17,2,12,8.2,..
Malta,0,0,2,5,22,4,30.3,6.3
Marshall Islands,0,0,1,4,18,0,11.9,0.3
Mauritania,5,3,18,19,45,0,0.6,4.2
Mauritius,0,0,7,12,21,91,4.7,0
Mexico,706,657,96,71,181,484,14.5,21.8
"Micronesia, Fed. Sts.",1,1,5,12,25,5,0,0
Moldova,3,4,4,11,8,2,4.2,..
Monaco,0,0,3,0,15,1,33.2,99.8
Mongolia,144,142,11,24,2,0,17.7,..
Montenegro,6,8,6,13,32,3,6.4,0
Morocco,55,57,18,18,54,52,30.8,0.3
Mozambique,434,367,17,30,72,145,21.6,2.2
Myanmar,392,285,49,56,53,61,6.4,2.3
Namibia,88,66,15,32,33,27,37.9,1.7
Nepal,57,60,29,38,7,18,23.6,..
Netherlands,3,4,3,10,15,1,11.2,26.7
New Caledonia,8,8,9,17,37,350,54.4,96.6
New Zealand,94,99,9,69,38,21,32.5,30.4
Nicaragua,64,34,7,17,40,50,37.2,3
Niger,19,11,13,13,4,4,17.3,..
Nigeria,265,216,31,21,74,205,13.9,0
Northern Mariana Islands,0,0,3,17,14,6,7.7,33.3
Norway,121,122,8,11,23,10,17.1,0.8
Oman,0,0,10,13,36,6,2.6,0.1
Pakistan,1,37,25,33,46,12,12.3,0.8
Palau,0,0,4,6,21,5,28,83
Panama,46,42,17,25,57,212,20.9,1.7
Papua New Guinea,364,359,41,39,61,179,3.1,0.2
Paraguay,255,161,10,27,0,20,14.3,..
Peru,764,723,53,119,52,328,21.3,0.5
Philippines,78,72,38,93,91,254,15.3,1.2
Poland,89,95,4,11,8,11,39.7,22.6
Portugal,34,33,13,15,67,101,22.9,16.6
Puerto Rico,3,5,2,11,32,64,7.3,1.7
Qatar,0,0,4,9,17,0,13.2,1.7
Romania,64,69,9,17,22,7,24.5,23.1
Russian Federation,"8,090","8,153",34,57,39,56,9.7,3
Rwanda,3,3,24,20,7,41,9.1,..
Samoa,2,2,2,6,16,2,7.3,0.1
San Marino,0,0,0,0,0,0,..,..
Sao Tome and Principe,1,1,4,12,25,49,29.3,0
Saudi Arabia,10,10,11,18,41,4,4.8,2.5
Senegal,93,81,19,19,58,14,25.4,1.1
Serbia,25,27,6,13,15,6,6.6,..
